Date,Forecasted Milk Production,Confidence Interval Lower,Confidence Interval Upper
2033-04-30,4511.4661689323075,-1737.1681756308435,10760.100513495458
2033-05-31,4046.3035393441796,-2248.2689555787983,10340.876034267158
2033-06-30,3625.094779831025,-2715.09312622458,9965.28268588663
2033-07-31,3005.6940658931803,-3379.791937295677,9391.180069082038
2033-08-31,3275.3458231354366,-3155.1256479021336,9705.817294173006
2033-09-30,3014.8685743543865,-3460.1958882783165,9489.93303698709
2033-10-31,3085.3213080051414,-3434.486912926322,9605.129528936604
2033-11-30,3044.9196886719064,-3524.01986806047,9613.859245404283
2033-12-31,2731.529446888051,-3877.773819954172,9340.832713730273
2034-01-31,2604.8208878482183,-4062.505607564828,9272.147383261265
2034-02-28,3849.4232452376677,-2865.031885585046,10563.878376060382
2034-03-31,4452.009934237743,-2308.6816912740514,11212.701559749537
2034-04-30,4515.489122659558,-2291.114914919549,11322.093160238666
2034-05-31,4050.326493196603,-2801.895368243926,10902.548354637132
2034-06-30,3629.1177337978556,-3268.430591542236,10526.666059137948
2034-07-31,3009.717019879425,-3932.870514414812,9952.304554173663
2034-08-31,3279.3687767961196,-3707.974080745826,10266.711634338066
2034-09-30,3018.891527956595,-4012.839608293955,10050.622664207145
2034-10-31,3089.3442619930515,-3986.964997038063,10165.653521024165
2034-11-30,3048.9426427386347,-4076.5152344177973,10174.400519895067
2034-12-31,2735.5524010339705,-4430.029282711642,9901.134084779584
2035-01-31,2608.8438418493456,-4614.113567705919,9831.80125140461
2035-02-28,3853.446199202535,-3416.2925829456094,11123.18498135068
2035-03-31,4456.032888230381,-2859.6383127424815,11771.704089203244
2035-04-30,4519.512076629409,-2841.79617300046,11880.82032625928
2035-05-31,4054.349447178437,-3352.328065822877,11461.026960179752
2035-06-30,3633.1406877906416,-3818.6404043127627,11084.921779894046
2035-07-31,3013.73997387407,-4482.882112303205,10510.362060051346
2035-08-31,3283.391730759599,-4257.81112185944,10824.594583378637
2035-09-30,3022.9144819144763,-4562.52299166354,10608.351955492491
2035-10-31,3093.3672159878556,-4536.527584482006,10723.262016457718
2035-11-30,3052.9655967409835,-4626.114686247033,10732.045879729001
2035-12-31,2739.575355043901,-4979.441782091852,10458.592492179652
